sentiment,lang,hashtags,clean_text
1,en,,rt telglobalhealth africa is in the midst of a full blown third wave of coronavirus the head of whoafro has warnedcases have risen
1,en,,rt globalhlthtwit dr moeti is head of who in africa and one of the best public health experts and leaders i know hers is a desperate re
1,en,red4research,rt nhsrdforum thank you research note for creating this amazing campaign amp turning social media red research today nhsrdforum is all
1,en,,rt highwiretalk former pfizer vp and virologist dr michael yeadon is one of the most credentialed medical professionals speaking out a
1,en,,rt peterhotez i think it s important that we don t sell covax short it still has a lot going for it and is innovative in its design but
1,en,wecandothis,rt cdcdirector i m pleased to welcome the wecandothis bus to atlanta today remember there are easy ways to find a covid vaccine n
1,en,,rt realjoelsmalley yet another amazingly qualified and courageous doctor roger hodkinson speaks out against the crazy government policy
1,en,,rt realjoelsmalley yet another amazingly qualified and courageous doctor roger hodkinson speaks out against the crazy government policy
1,en,,rt globalhlthtwit dr moeti is head of who in africa and one of the best public health experts and leaders i know hers is a desperate re
1,en,covid19,rt longcovidnyc it is really something to see new research coming out about damage to the brain heart and more from covid and then
1,en,wecandothis,rt cdcdirector i m pleased to welcome the wecandothis bus to atlanta today remember there are easy ways to find a covid vaccine n
0,en,cuban,rt mediccgail biocubafarma says phase clinical trial results for cuban covid vaccines are due out in a few days soberana with
-1,en,,this first aid agent noticed that most of the aged people he took care of were victims of stroke and later passed 
1,en,covid19,rt longcovidnyc it is really something to see new research coming out about damage to the brain heart and more from covid and then
-1,en,,rt yakilopez i guess this is what ethnic cleansing and apartheid look like 
-1,en,,look how pathetically disrespectful the us is with the pfizer distribution mere while the others have hund 
1,en,covid19,rt longcovidnyc it is really something to see new research coming out about damage to the brain heart and more from covid and then
1,en,,rt moetitshidi africa is in the midst of a full blown third wave the sobering trajectory of surging cases should rouse everyone into urg
0,en,,rt who drtedros less than of africa s population has been vaccinated vaccines donated next year will be far too late for those who
1,en,covid19,rt falcicchio so glad to join training day for the dc covid community corpsthey will be going door to door and attending events to e
1,en,,rt globalhlthtwit dr moeti is head of who in africa and one of the best public health experts and leaders i know hers is a desperate re
1,en,,rt vaxhunterscan mb winnipeg available mrna vaccines scurfield pharmacy scurfield blvd 
1,en,,rt gebauerken robinmonotti riseoftheproles btw covid deaths are super inflated by a rigged pcr test using a survival rate of the c
1,en,,rt globalhlthtwit dr moeti is head of who in africa and one of the best public health experts and leaders i know hers is a desperate re
1,en,,rt jillianhortonmd that s great but there are now zero appointments available within a hour driving radius of winnipeg for anyone wh
-1,en,covid19,a free webinar will review the state of covid in brazil india and south africa and explore what lessons w 
0,en,cuban,rt mediccgail biocubafarma says phase clinical trial results for cuban covid vaccines are due out in a few days soberana with
1,en,,rt moetitshidi africa is in the midst of a full blown third wave the sobering trajectory of surging cases should rouse everyone into urg
1,en,,rt telglobalhealth africa is in the midst of a full blown third wave of coronavirus the head of whoafro has warnedcases have risen
1,en,covid19,rt longcovidnyc it is really something to see new research coming out about damage to the brain heart and more from covid and then
0,en,covid19,rt winnie byanyima we are dying ugandans need the world to stand with them we need oxygen ppes covid vaccines and money to pay our
1,en,ernreconnet,rt ern reconnet ernreconnet meeting sle and covid vaccines that s the reason why erns were developed patientsinvolvement
1,en,covid19,rt whoafro africa needs millions more doses here amp now to curb the third wave in the midst of a third wave of covid cases in afri
1,en,covid19,rt eu commission a new eurobarometereu survey shows of europeans intend to get vaccinated against covid this year but people age
0,en,covid19,rt winnie byanyima we are dying ugandans need the world to stand with them we need oxygen ppes covid vaccines and money to pay our
-1,en,covid19,global partnership is needed to achieve global elimination of cervical cancer globally covid has shown that we 
1,en,wecandothis,rt cdcdirector i m pleased to welcome the wecandothis bus to atlanta today remember there are easy ways to find a covid vaccine n
1,en,covid19,rt longcovidnyc the us government is lying to us by pretending covid is over it is not over people are still dying daily vaccines a
-1,en,,rt wkrafchik ibp south africa and partners wrote to the gauteng government in october last year highlighting that residents in emfuleni i
1,en,,rt vaxhunterscan mb winnipeg available mrna vaccines atlantic medical centre mcphillips street call to c
1,en,,rt geoffreyyork more than new cases in south africa s latest report positivity rate above the third wave continues and tw
0,en,,rt doritmi at least one take away seems to me to be that universities may still find themselves facing litigation even if they don t mand
-1,en,,with the vaccination programme well underway it is important that employers continue to ensure their staff can find 
-1,en,wecandothis,not yet vaccinated against covid sign up for an appointment and let s stop the spread wecandothis arizona 
1,en,covid19,rt cdcgov you can get a covid vaccine and other vaccines including flu and shingles at the same visit you no longer need to wait
-1,en,,rt rimmel mohydin hoarding vaccines is costing lives
1,en,,rt realjoelsmalley yet another amazingly qualified and courageous doctor roger hodkinson speaks out against the crazy government policy
0,en,,rt itranslate aipac will aipac tell the world that israel has sold expired vaccines to palestinians which could have been disastrous
1,en,covid19,rt rid tweets june covid in south africa daily test positivity rate at today that s a positive test for every
-1,en,covid19,rt wef study most people support sharing vaccines with other countries 
1,en,,rt vaxhunterscan mb winnipeg available mrna vaccines scurfield pharmacy scurfield blvd 
-1,en,,concerns over whether astrazeneca recipients will be limited in travel to the u s 
-1,en,,phac webinar for health care providers covid variants and vaccines june pm pm edtregist 
-1,en,karur,rt empoweringerode karur district tomorrow s vaccination camps karur covid tamilnadu karurdistrict karurcovid vac
-1,en,covid19,vaccines bring us together keep your friends family safe from covid seattlefire amp seapubschools are hosting 
-1,en,,patients with immune mediated inflammatory diseases receiving background methotrexate have worse humoral and cellul 
-1,en,covid19,rt kalainh as of june th t amp t has administered doses of a who approved covid vaccine the country has approximately of a
0,en,,rt albalaghacademy join us in al balagh nd international conference on fiqh of medicine amp learn about the islamic approach to covid va
-1,en,,follow aarc tweets hcollaborative amp looms lupus to keep up with the work these partners are doing to help the 
1,en,covid19,rt israelmfa israel will deliver more than a million doses of covid vaccines to the palestinian authority to help it fight the corona
1,en,,rt globalhlthtwit dr moeti is head of who in africa and one of the best public health experts and leaders i know hers is a desperate re
-1,en,covid19,covid may be new but the covid vaccines are built on trusted work that goes back decades covid vaccin 
-1,en,fullyvaccinated,i m officially fullyvaccinated vaccines are key to ending the pandemic amp getting back to all of our favourite peo 
1,en,,rt jillianhortonmd that s great but there are now zero appointments available within a hour driving radius of winnipeg for anyone wh
1,en,covid19,rt cdcgov you can get a covid vaccine and other vaccines including flu and shingles at the same visit you no longer need to wait
-1,en,covid19,rt kalainh as of june th t amp t has administered doses of a who approved covid vaccine the country has approximately of a
1,en,,rt jillianhortonmd that s great but there are now zero appointments available within a hour driving radius of winnipeg for anyone wh
-1,en,,covid live delta variant becoming globally dominant who says as expert calls africa s case trajectory very very 
1,en,covid19,rt quizzicalgirl please do your research first if you read or see something about vaccines or covid that sounds unusual spreading di
1,en,deltavariant,rt drericding similar deltavariant worries from a hospital outbreak even w dose of mrna vaccines patients amp hcws delt
0,en,,rt cityam astrazeneca claims victory over eu in vaccine deliveries case but will be fined for late supplies the eu has lost its case a
-1,en,covid19,rt dailysabah israel to lend palestine million doses of soon to expire covid vaccines
0,en,cuban,rt mediccgail biocubafarma says phase clinical trial results for cuban covid vaccines are due out in a few days soberana with
-1,en,,pin code bsm deenanath hosp pvt pmcvaccines covishield min age limit dose capacity 
-1,en,,pin code bmcc deenanath hospital pvtvaccines covishield min age limit dose capacity 
-1,en,,pin code poona hospital pmc pvaccines covishield min age limit dose capacity dose capaci 
-1,en,,pin code district hospital aundhvaccines covaxin min age limit dose capacity dose capa 
1,en,israel,rt themojostory as per reports israel prime minister pm naftalibennett said that israel will provide million covid vaccine dose
-1,en,covid19,june latest number of covid statistics in south africa coronavirussa 
-1,en,covid19,rt kalainh as of june th t amp t has administered doses of a who approved covid vaccine the country has approximately of a
1,en,,rt telglobalhealth africa is in the midst of a full blown third wave moetitshidi said the sobering trajectory of surging cases shou
